sample_index,absolute_token_position,template_id,template_metadata.prompt_framing,template_metadata.output_format,task,task_metadata.task_family,task_metadata.difficulty,task_metadata.domain,task_metadata.complexity,task_metadata.planning_type,task_metadata.stakes,task_metadata.agency,quantity,quantity_text,base_value,base_unit,unit_variant,number_format,value,value_text,unit,source_folder,time_horizon_months,source_sample_count,PLS1,PLS2,PLS3,log10_time_horizon_months,reconstruction_residual_rms,PLS1_metric,PLS2_metric,PLS3_metric
0,-1,task_available_time,<averaged>,,allocate limited resources among competing needs,resource_allocation,,abstract,,allocation,,,,,<averaged>,<averaged>,original,numeric,1,1,century,abst,1200.0,108,22.395680488264,10.107329671116632,-7.73737366877243,3.0791812460476247,0.1126381790006781,16.67925154512171,1.9312024361461262,3.252991431046869
1178,-1,task_available_time,<averaged>,,bring a system into a useful stable state,state_stabilization,,abstract,,stabilization,,,,,<averaged>,<averaged>,original,numeric,1,1,century,abst,1200.0,108,23.16604869196793,4.076465478088582,-18.4251967153101,3.0791812460476247,0.128136801475992,18.04578921930404,-1.8501209169387947,-3.2930857039459394
2356,-1,task_available_time,<averaged>,,coordinate contributors to produce an agreed result,coordination,,abstract,,coordination,,,,,<averaged>,<averaged>,original,numeric,1,1,century,abst,1200.0,108,31.18869995374967,11.344974140968684,3.782457052671233,3.0791812460476247,0.0925720963732377,19.24951798414837,4.63412156025427,11.893385364682882
3534,-1,task_available_time,<averaged>,,determine how an unfamiliar system behaves,system_understanding,,abstract,,investigative,,,,,<averaged>,<averaged>,original,numeric,1,1,century,abst,1200.0,108,22.866166360801405,4.686261371522158,-1.4478944483987424,3.0791812460476247,0.1152273153003791,15.227437613421863,0.344159943933775,7.5251585431819095
4712,-1,task_available_time,<averaged>,,establish an effective shared standard,standard_governance,,abstract,,governance,,,,,<averaged>,<averaged>,original,numeric,1,1,century,abst,1200.0,108,26.492015783165137,8.09132085446387,-13.128358438238562,3.0791812460476247,0.1033104933720035,19.274416392166856,0.883560812429951,2.147679618176559
5890,-1,task_available_time,<averaged>,,produce a reliably functioning process,process_improvement,,abstract,,iterative,,,,,<averaged>,<averaged>,original,numeric,1,1,century,abst,1200.0,108,24.91447291485721,2.42516671937219,1.675341316816748,3.0791812460476247,0.1200345183338249,15.479787118790222,-0.14442711188059754,9.003512249571736
7068,-1,task_available_time,<averaged>,,recover a disrupted system to a stable state,system_recovery,,abstract,,recovery,,,,,<averaged>,<averaged>,original,numeric,1,1,century,abst,1200.0,108,22.525490224869557,4.638351368064251,-13.725158367151613,3.0791812460476247,0.1010406146032694,16.930380725615617,-0.9282617089080927,3.0397951396085094
8246,-1,task_available_time,<averaged>,,reduce a known failure risk to an acceptable level,risk_reduction,,abstract,,risk_management,,,,,<averaged>,<averaged>,original,numeric,1,1,century,abst,1200.0,108,27.410796505007088,10.848876709877764,-9.96459938605757,3.0791812460476247,0.0955065777755769,19.520806494534202,2.568448764232727,4.2957871507290175
9424,-1,task_available_time,<averaged>,,revise a strategy for changed conditions,adaptation,,abstract,,adaptive,,,,,<averaged>,<averaged>,original,numeric,1,1,century,abst,1200.0,108,21.461297902990395,14.014440900348427,-8.375662831930505,3.0791812460476247,0.1080913197469529,16.79040115385329,3.486804069957021,2.6537938996357315
10602,-1,task_available_time,<averaged>,,transfer a body of knowledge to a new recipient,knowledge_transfer,,abstract,,knowledge_preservation,,,,,<averaged>,<averaged>,original,numeric,1,1,century,abst,1200.0,108,22.31412639721019,7.080269226084628,-11.366737795416787,3.0791812460476247,0.1352234098154914,16.8791279510369,0.11857413102337855,-1.2623794042523482
